email;passwordSalt;passwordHash;tipo;ativo
20260001@issmf.ipp.pt;yEBC9iGrEu0xL0gj/2+FCw==;TnU+uPlyVZQEaLzUp4mUN6G2QxUgGYa9UPPHb8BiVT0=;ESTUDANTE;true
20260002@issmf.ipp.pt;MNMx41z7E3hbbvYpiZ32HA==;b3qvKhnj9fxe6FQublXHWwT+OSt+kw5zfDpHcFk3lH0=;ESTUDANTE;true
20260003@issmf.ipp.pt;zJ6egd4dwdILdKd9e1f08g==;xzeMxv1Ax3nyTMWyhmnMyVN5xxQxgGCzb9+1tWH51LM=;ESTUDANTE;true
20260004@issmf.ipp.pt;aZ+9gULUhSufZFsuWMObfQ==;CUOvmjIltJDbeZz6UhAvzL2vor4jf8YvM2RpU38/a2M=;ESTUDANTE;true
abc@issmf.ipp.pt;zFRgPTaZdyP6zjKFYf5LVQ==;UXpLZaWz3JlFsXRbG7XuuGQK6R7VKGAYfRfHB12w8FI=;DOCENTE;true
xyz@issmf.ipp.pt;924IODdlb4KM7ikD8QjqsQ==;JWOSUjCgxYrl9SbHVcYWmnTkddWwixERv2KmF/lYs+c=;DOCENTE;true
mno@issmf.ipp.pt;ne/oT8ZDzqIpAQCkc/yclg==;jCxN9TBkGlCJfqlfwDCOfWsmLkImeFymWY9IUt8bfg8=;DOCENTE;true
20260005@issmf.ipp.pt;pn62dYZxjy+zesOS28iHUA==;tpbJFbIbSpus8pFt3JDfhzDVTOg247X09vSkTKJzfHU=;ESTUDANTE;true
20260006@issmf.ipp.pt;pn/zdOCgjHSIuiil2qBKag==;q+ii4+BQVVjXM2B9uqLGqhi4iBDPrXVoYACGhfvgrQU=;ESTUDANTE;true
20260007@issmf.ipp.pt;/Yam+PIrg9ZB9WY3Rfq5pg==;IkPTrK3BzMI7nzIy1Vt9Ibfv40ntr0DayVuGPew5LIo=;ESTUDANTE;true
20260008@issmf.ipp.pt;ifbevMeK5FI9ZZT/FbzNMA==;rejY3owh5+tiqmzvWk7KoIBL0HM3WY3EiwW7EWtkBLA=;ESTUDANTE;true
20260009@issmf.ipp.pt;4dHuRfJU2XPPDdFJKSDJJA==;YtBCq704zfMkAHoGQKf9yIrNYMTr1iaP1NPTcIs2sYc=;ESTUDANTE;true
20260010@issmf.ipp.pt;W2zGWHR0c+pIyhS53leeFQ==;fIKjY0pvnHb1q0XgvCyAhVABFfWO8oM46Z6lOqY9CNY=;ESTUDANTE;true
mfp@issmf.ipp.pt;vC12CM1bEQnhE1hmDTSi/Q==;e5MSd4mFmjF3Fp7xmFMqdTzsqTduzsVYglyxvVbcZRE=;DOCENTE;true
avn@issmf.ipp.pt;8mjHMzOZUbYKUVAYvuhpIA==;KMkXbF6fJ9r+Dz3DjG0te2eHUkm9gw3LhMSWxRBmpUc=;DOCENTE;true
ava@issmf.ipp.pt;coykNjXJEwjbt2Abn6rwAw==;c+mQ0MzjNwqqFQy+gZYbrH5xowayWfuVcYKUm4rfxKY=;DOCENTE;true
20260012@issmf.ipp.pt;39sGRgljtG+RhYnrDdOqNQ==;B49opZXALPKdaw1ZiDdA6RTCZvDibqsIByvGIvtGe2s=;ESTUDANTE;true
