numMec;email;nome;nif;morada;dataNascimento;anoInscricao;siglaCurso;saldoDevedor;anoCurricular
20260001;20260001@issmf.ipp.pt;Joao Silva;123123123;Rua Um;01-01-2005;2026;LEI;500.0;2
20260002;20260002@issmf.ipp.pt;Ana Santos;234234234;Rua Dois;02-02-2005;2026;LEI;0.0;2
20260003;20260003@issmf.ipp.pt;Pedro Costa;345345345;Rua Tres;03-03-2004;2026;LGE;0.0;2
20260004;20260004@issmf.ipp.pt;Sofia Oliveira;456456456;Rua Quatro;04-04-2005;2026;LGE;0.0;2
20260005;20260005@issmf.ipp.pt;Pedro Morgado;123456789;Lisboa;02-05-2000;2026;LGE;0.0;
20260006;20260006@issmf.ipp.pt;Sara Londreira;258066695;rua;22-10-2000;2026;LEI;0.0;1
20260007;20260007@issmf.ipp.pt;sara;258369124;rua;10-11-2020;2026;LEI;0.0;1
20260008;20260008@issmf.ipp.pt;serty;253104220;lol;25-10-2205;2026;LEI;0.0;1
20260009;20260009@issmf.ipp.pt;sara londreira;123589647;sfg;22-10-2000;2026;LEI;0.0;1
20260010;20260010@issmf.ipp.pt;Rita gomes;234567876;Oliveira;22-10-2000;2026;LEI;0.0;1
20260011;20260011@issmf.ipp.pt;sa;234533222;ria;22-10-2000;2026;CPSI;1000.0;1
20260012;20260012@issmf.ipp.pt;EstudanteA;219251622;Rua do estudante A;19-10-2000;2026;EEC;877.78;1
20260013;20260013@issmf.ipp.pt;EstudanteB;293355630;Rua estudante b;19-10-2000;2026;EEC;0.0;1
20260014;20260014@issmf.ipp.pt;Estudante C;223844730;Raua estudante C;19-10-2000;2026;EEC;1200.0;1
20260015;20260015@issmf.ipp.pt;Estudante D;250341018;Rua Estudante 4;31-05-1999;2026;EEC;1200.0;1
20260016;20260016@issmf.ipp.pt;Estudante E;258840200;Rua do estudante 5;01-01-1999;2026;EEC;1200.0;1
20260017;20260017@issmf.ipp.pt;Estudante F;235906395;Rua do Estudante 6;01-01-1999;2026;EEC;1200.0;1
20260018;20260018@issmf.ipp.pt;Estudante G;248915746;01-01-1999;01-01-1999;2026;EEC;1200.0;1
20260020;20260020@issmf.ipp.pt;Estudante 20;219251001;Rua Teste 20;01-01-2000;2026;EEC;0.0;1
20260021;20260021@issmf.ipp.pt;Estudante 21;219251002;Rua Teste 21;01-01-2000;2026;EEC;0.0;1
20260022;20260022@issmf.ipp.pt;Estudante 22;219251003;Rua Teste 22;01-01-2000;2026;EEC;0.0;1
20260023;20260023@issmf.ipp.pt;Estudante 23;219251004;Rua Teste 23;01-01-2000;2026;EEC;0.0;1
20260024;20260024@issmf.ipp.pt;Estudante 24;219251005;Rua Teste 24;01-01-2000;2026;EEC;0.0;1
20260025;20260025@issmf.ipp.pt;Estudante 25;219251006;Rua Teste 25;01-01-2000;2026;EEC;0.0;1
20260026;20260026@issmf.ipp.pt;Estudante 26;219251007;Rua Teste 26;01-01-2000;2026;EEC;0.0;1
20260027;20260027@issmf.ipp.pt;Estudante 27;219251008;Rua Teste 27;01-01-2000;2026;EEC;0.0;1
