email;passwordSalt;passwordHash;tipo;ativo
20260001@issmf.ipp.pt;P3inoJKLmwHJP6vTZGhGtg==;hSUq32h58aemciB2hHtnAc4ltc8/Zh1ozv86rLtG9a8=;ESTUDANTE;true
20260002@issmf.ipp.pt;nM2fZwkRAiLptwZgHN6fdg==;8Vbp5J+HNiVt5SHIawKbfPynUsvfW/Z1J7nzjPhpEBU=;ESTUDANTE;true
20260003@issmf.ipp.pt;zLoY/C2zztsMo3qOUhkKSw==;KJXjz3oB2TJS49841j1Om1Zw4D5ubqbXMmuIAAgNJd0=;ESTUDANTE;true
20260004@issmf.ipp.pt;yiaXP3IsZc9j4ZOJYjSbTQ==;Ksdn/BNZjUfLunOGN9KzKR6ymRJGPFd2+SlPW4n53d8=;ESTUDANTE;true
abc@issmf.ipp.pt;XCU20SyJGBig4tFG9oSegg==;rIR+LnLxEAR00eMywRfm8oefZ4RPACL1+2EfnE/dk44=;DOCENTE;true
xyz@issmf.ipp.pt;8FmP7fPmLyng9nobPk8W1A==;PBip4xW5ipCId27dFnawnzRmDwWQB9Zv2RV+BwSDiPs=;DOCENTE;true
mno@issmf.ipp.pt;awJi/2dRX8yJcGQ5G8moTQ==;MewNWcJizZo9X8/HFUONxTwrNCGjzXCpZ1raV6VSYxA=;DOCENTE;true
20260005@issmf.ipp.pt;ZVB0zBSM/u6OBDA2rbMxDA==;1vmg56o6u8BeZ6dVraAZpg6pDAowPeOAPFEUCcZ2JUM=;ESTUDANTE;true
20260006@issmf.ipp.pt;pRSQoQ2GoP6RpYMxHTbTcA==;DdlMtsW58VwZQp1zfj2We/5a655GHbRM9S7uUB6lzLY=;ESTUDANTE;true
20260007@issmf.ipp.pt;00KLGWI02/xjWiKIK8UWfw==;tzKOznBQ4TnCHrsAtX0VnEVPL/oPe8HwoEn4raiSkKk=;ESTUDANTE;true
20260008@issmf.ipp.pt;ZuZynhKLF+xOJgCwNxpLlg==;6T+aY6IBa3c+QXXjxfpQ31UxdLDf1dne2BUVH4XztRM=;ESTUDANTE;true
20260009@issmf.ipp.pt;ub6/zYHvSd+/QHkbKs066w==;sjcNlOr1PMdEI8onVN8AfF1EnGorI5PEXy9GeBihAIk=;ESTUDANTE;true
20260010@issmf.ipp.pt;NcMebLWdt68eNd42yZXVLw==;QNjbcOwVr6cJpp4XTLQOjklxvm3MiZ4oGHCFWohj1Ro=;ESTUDANTE;true
mfp@issmf.ipp.pt;j9kk7LmZUcFwLpVMJQkA5A==;QW8du1gUoUliUc3xUTpvfd6aV1HwVgrFmWOze2aDgxk=;DOCENTE;true
avn@issmf.ipp.pt;Mus7HQhe5ZjNxPunOz7ojw==;rkF7FtKo9n7volCXuOV25lZ9cFLgQG0pCKo5pW4Fuzg=;DOCENTE;true
ava@issmf.ipp.pt;GZiWrF5wBd1RGM6xG5MArg==;dlNwtdmrWnBbarF4GNBR0UFLvVyAqJ01M3zFq4kcl4Q=;DOCENTE;true
20260012@issmf.ipp.pt;6DO/0cO0mq+k6+PcCv3qpA==;zOQ0rcHp500N3So/BdDXPR8aQB+hPogiM3akR3xkFMQ=;ESTUDANTE;true
20260013@issmf.ipp.pt;hIyjNqrmF8jisTTUD8GksA==;Wd7NmzGmxIhP5/zcu+Re7IH+g+mR3cEFX2j/D5Ihas8=;ESTUDANTE;true
20260014@issmf.ipp.pt;eFt0jtZ/BadUZybsNNrtCg==;JZ6+ehY6+03mYuOLS4b5KOtpR5i/ucNR0G5FLJazcOY=;ESTUDANTE;true
20260015@issmf.ipp.pt;UqfL2EWqrny01l2kMFBW4g==;SqKMjrLH+AjAjdo86pzR7RI8Ibh8ZfjqvJZth15h6Ok=;ESTUDANTE;true
20260016@issmf.ipp.pt;UNyRUCWQQRFW8166jDZTPQ==;dsP0i7xgcROVPE9scH7IDL8eSiesfMXVj+OxXJPa6rs=;ESTUDANTE;true
20260017@issmf.ipp.pt;5m16AAR0/pXcoJqkI2A/Sg==;+MFpnu0K6F1Eulhigi4HNykgk2NKfXDGDFC0Cdt1K88=;ESTUDANTE;true
20260018@issmf.ipp.pt;KlvxsaiMlGIXhDh+PzlptQ==;Ts/61AM/48r7oxHvs8MJdk6PlzobAbuJD/ascKgWLK0=;ESTUDANTE;true
jos@issmf.ipp.pt;KX6adQPIiNMi0GrZE3ohdw==;otGfAb6oyiWO/fkEeQ0Szf9hL4phbom+NvaSFbJAyvg=;DOCENTE;true
backoffice@issmf.ipp.pt;LxU2v8fm4fCx9IzxQ7ioFA==;W8eh4Qs5jH9666HZdcxeZ9sFe6otGbBhmYwZK16mIps=;GESTOR;true
